,Symbol,Name,Price,Change %,24h Volume,Market Cap,URL
212,SRM,Serum,$0.30975000,-1.38%,13.50M,$81.54M,https://www.binance.com/en/trade/SRM_BUSD?_from=markets
213,FUN,FunToken,$0.00712000,+0.85%,1.32M,$78.05M,https://www.binance.com/en/trade/FUN_USDT?_from=markets
214,TLM,Alien Worlds,$0.02267000,+0.18%,8.34M,$78.05M,https://www.binance.com/en/trade/TLM_BUSD?_from=markets
215,ALICE,My Neighbor Alice,$1.87,-1.63%,16.05M,$77.54M,https://www.binance.com/en/trade/ALICE_BUSD?_from=markets
216,CTK,Shentu,$0.83800000,+2.57%,3.22M,$75.56M,https://www.binance.com/en/trade/CTK_BUSD?_from=markets
217,BNT,Bancor,$0.47900000,+0.84%,5.84M,$75.52M,https://www.binance.com/en/trade/BNT_BUSD?_from=markets
218,QKC,QuarkChain,$0.01167900,+0.98%,2.81M,$74.74M,https://www.binance.com/en/trade/QKC_BUSD?_from=markets
219,BADGER,Badger DAO,$3.77,+5.27%,31.81M,$71.75M,https://www.binance.com/en/trade/BADGER_BUSD?_from=markets
220,WRX,WazirX,$0.18790000,-1.36%,1.13M,$71.75M,https://www.binance.com/en/trade/WRX_BUSD?_from=markets
221,BETA,Beta Finance,$0.11090000,+4.75%,10.90M,$71.74M,https://www.binance.com/en/trade/BETA_BUSD?_from=markets
222,REEF,Reef,$0.00330600,-0.09%,8.67M,$71.50M,https://www.binance.com/en/trade/REEF_BUSD?_from=markets
223,GFT,Gifto,$0.07087000,+2.06%,27.01M,$70.81M,https://www.binance.com/en/trade/GFT_BUSD?_from=markets
224,OGN,OriginToken,$0.13780000,+1.85%,9.55M,$70.09M,https://www.binance.com/en/trade/OGN_BUSD?_from=markets
225,STMX,StormX,$0.00700200,+1.32%,5.82M,$70.02M,https://www.binance.com/en/trade/STMX_BUSD?_from=markets
226,FORTH,Ampleforth Governance Token,$4.55,+2.48%,2.24M,$69.11M,https://www.binance.com/en/trade/FORTH_BUSD?_from=markets
227,LOOM,Loom Network,$0.06071000,+0.12%,97.54M,$67.83M,https://www.binance.com/en/trade/LOOM_BUSD?_from=markets
228,YGG,Yield Guild Games,$0.32130000,+2.75%,17.44M,$67.42M,https://www.binance.com/en/trade/YGG_BUSD?_from=markets
229,GHST,Aavegotchi,$1.49,+1.16%,9.03M,$67.19M,https://www.binance.com/en/trade/GHST_BUSD?_from=markets
230,OXT,Orchid,$0.09690000,+1.68%,2.99M,$66.92M,https://www.binance.com/en/trade/OXT_BUSD?_from=markets
231,WNXM,Wrapped NXM,$22.99,+1.41%,28.11M,$66.58M,https://www.binance.com/en/trade/WNXM_USDT?_from=markets
232,ARK,Ark,$0.39190000,+0.82%,2.82M,$66.53M,https://www.binance.com/en/trade/ARK_BUSD?_from=markets
233,DAR,Mines of Dalarnia,$0.20979000,+0.15%,16.23M,$65.13M,https://www.binance.com/en/trade/DAR_BUSD?_from=markets
234,MOVR,Moonriver,$10.08,+0.80%,4.23M,$64.79M,https://www.binance.com/en/trade/MOVR_BUSD?_from=markets
235,KEY,Selfkey,$0.01214600,+4.29%,23.49M,$64.43M,https://www.binance.com/en/trade/KEY_BUSD?_from=markets
236,SUN,SUN,$0.00689000,+1.17%,12.22M,$63.51M,https://www.binance.com/en/trade/SUN_BUSD?_from=markets
237,ATA,Automata,$0.17570000,-0.06%,4.30M,$63.25M,https://www.binance.com/en/trade/ATA_BUSD?_from=markets
238,MBL,MovieBloc,$0.00387500,-0.46%,3.95M,$60.96M,https://www.binance.com/en/trade/MBL_BUSD?_from=markets
239,AERGO,Aergo,$0.14110000,+0.57%,5.35M,$60.67M,https://www.binance.com/en/trade/AERGO_BUSD?_from=markets
240,SUPER,SuperFarm,$0.14980000,-1.32%,3.82M,$60.49M,https://www.binance.com/en/trade/SUPER_BUSD?_from=markets
241,PERP,Perpetual Protocol,$0.91464000,-1.67%,12.66M,$60.36M,https://www.binance.com/en/trade/PERP_BUSD?_from=markets
242,C98,Coin98,$0.27360000,-0.98%,16.07M,$59.35M,https://www.binance.com/en/trade/C98_BUSD?_from=markets
243,CTXC,Cortex,$0.27810000,+0.91%,14.46M,$58.08M,https://www.binance.com/en/trade/CTXC_BUSD?_from=markets
244,UTK,Utrust,$0.11600000,-1.28%,4.37M,$58.00M,https://www.binance.com/en/trade/UTK_BUSD?_from=markets
245,WAN,Wanchain,$0.29520000,-1.17%,1.09M,$57.92M,https://www.binance.com/en/trade/WAN_USDT?_from=markets
246,TKO,Tokocrypto,$0.35660000,-0.97%,3.70M,$57.25M,https://www.binance.com/en/trade/TKO_BUSD?_from=markets
247,VAI,Vai,$0.97943193,+0.98%,"58,041.12",$56.31M,https://www.binance.com/en/trade/VAI_BUSD?_from=markets
248,RARE,SuperRare,$0.16080000,+0.75%,2.45M,$55.63M,https://www.binance.com/en/trade/RARE_BUSD?_from=markets
249,XVG,Verge,$0.00335300,+0.39%,"621,290.17",$55.37M,https://www.binance.com/en/trade/XVG_BUSD?_from=markets
250,LTO,LTO Network,$0.12950000,+6.76%,8.69M,$53.27M,https://www.binance.com/en/trade/LTO_BUSD?_from=markets
251,PHB,Phoenix,$1.43,+4.80%,21.99M,$53.10M,https://www.binance.com/en/trade/PHB_BUSD?_from=markets
252,RAY,Raydium,$0.29290000,-2.82%,6.35M,$52.75M,https://www.binance.com/en/trade/RAY_BUSD?_from=markets
253,MLN,Enzyme,$25.81,+2.38%,1.02M,$52.61M,https://www.binance.com/en/trade/MLN_BUSD?_from=markets
254,POLS,Polkastarter,$0.52700000,-0.94%,3.54M,$52.28M,https://www.binance.com/en/trade/POLS_BUSD?_from=markets
255,ARPA,ARPA Chain,$0.04205000,-0.14%,7.87M,$52.26M,https://www.binance.com/en/trade/ARPA_BUSD?_from=markets
256,IRIS,IRISnet,$0.03599000,+0.64%,3.64M,$52.01M,https://www.binance.com/en/trade/IRIS_USDT?_from=markets
257,FLM,Flamingo,$0.11090000,-0.36%,3.54M,$50.08M,https://www.binance.com/en/trade/FLM_USDT?_from=markets
258,YFII,DFI.Money,"$1,296.50",-1.25%,15.29M,$50.03M,https://www.binance.com/en/trade/YFII_USDT?_from=markets
259,QUICK,QuickSwap,$97.10,-3.00%,7.07M,$49.90M,https://www.binance.com/en/trade/QUICK_BUSD?_from=markets
260,TVK,Virtua,$0.05040000,+0.80%,23.94M,$49.22M,https://www.binance.com/en/trade/TVK_BUSD?_from=markets
261,LINA,Linear,$0.01022000,-0.73%,16.36M,$48.98M,https://www.binance.com/en/trade/LINA_BUSD?_from=markets
262,ALPACA,Alpaca Finance,$0.32000000,+2.47%,3.10M,$48.87M,https://www.binance.com/en/trade/ALPACA_BUSD?_from=markets
263,QLC,Kepple,$0.08038399,-2.87%,1.44M,$48.23M,https://www.binance.com/en/trade/QLC_BTC?_from=markets
264,LIT,Litentry,$1.20,-1.23%,11.35M,$47.54M,https://www.binance.com/en/trade/LIT_BUSD?_from=markets
265,HIFI,Hifi Finance,$0.49700000,+1.16%,3.62M,$47.22M,https://www.binance.com/en/trade/HIFI_USDT?_from=markets
266,MDT,Measurable Data Token,$0.06971000,+6.80%,55.27M,$47.13M,https://www.binance.com/en/trade/MDT_BUSD?_from=markets
267,BAKE,BakeryToken,$0.23750000,-1.21%,9.66M,$45.96M,https://www.binance.com/en/trade/BAKE_BUSD?_from=markets
268,FIS,Stafi,$0.73950000,-2.26%,10.37M,$44.70M,https://www.binance.com/en/trade/FIS_BUSD?_from=markets
269,IDEX,IDEX,$0.06164000,+1.63%,5.98M,$41.53M,https://www.binance.com/en/trade/IDEX_BUSD?_from=markets
270,LOKA,League of Kingdoms,$0.56070000,-2.33%,4.57M,$41.42M,https://www.binance.com/en/trade/LOKA_BUSD?_from=markets
271,AGLD,Adventure Gold,$0.58700000,-2.81%,12.55M,$41.18M,https://www.binance.com/en/trade/AGLD_BUSD?_from=markets
272,AUCTION,Auction,$6.28,-0.63%,1.97M,$40.82M,https://www.binance.com/en/trade/AUCTION_BUSD?_from=markets
273,ALCX,Alchemix,$23.64,+2.52%,7.26M,$40.36M,https://www.binance.com/en/trade/ALCX_BUSD?_from=markets
274,ORN,Orion Protocol,$1.18,+7.95%,7.59M,$40.29M,https://www.binance.com/en/trade/ORN_BUSD?_from=markets
275,TOMO,TomoChain,$0.42530000,-1.55%,4.56M,$40.18M,https://www.binance.com/en/trade/TOMO_BUSD?_from=markets
276,BLZ,Bluzelle,$0.11660000,-1.93%,12.58M,$39.76M,https://www.binance.com/en/trade/BLZ_BUSD?_from=markets
277,CHESS,Tranchess,$0.34320000,-6.23%,8.38M,$39.66M,https://www.binance.com/en/trade/CHESS_BUSD?_from=markets
278,KMD,Komodo,$0.29170000,-0.58%,"631,458.02",$39.65M,https://www.binance.com/en/trade/KMD_USDT?_from=markets
279,KP3R,Keep3rV1,$92.59,-0.93%,2.57M,$39.36M,https://www.binance.com/en/trade/KP3R_BUSD?_from=markets
280,AVA,Travala.com,$0.74300000,-1.20%,1.43M,$38.79M,https://www.binance.com/en/trade/AVA_BUSD?_from=markets
281,BOND,BarnBridge,$4.85,+0.56%,5.00M,$38.36M,https://www.binance.com/en/trade/BOND_BUSD?_from=markets
282,BAR,FC Barcelona Fan Token BAR,$4.05,-0.98%,2.24M,$38.09M,https://www.binance.com/en/trade/BAR_BUSD?_from=markets
283,BEL,Bella Protocol,$0.79060000,-0.25%,6.97M,$37.94M,https://www.binance.com/en/trade/BEL_BUSD?_from=markets
284,QI,BENQI,$0.01097000,-1.26%,4.49M,$37.93M,https://www.binance.com/en/trade/QI_BUSD?_from=markets
285,LEVER,LeverFi,$0.00247400,-1.98%,8.23M,$37.92M,https://www.binance.com/en/trade/LEVER_BUSD?_from=markets
286,DIA,DIA,$0.41200000,-0.48%,2.07M,$37.83M,https://www.binance.com/en/trade/DIA_BUSD?_from=markets
287,SNM,SONM,$0.81990000,+1.18%,4.39M,$36.40M,https://www.binance.com/en/trade/SNM_BUSD?_from=markets
288,BIFI,Beefy.Finance,$453.50,-0.90%,"809,088.80",$36.28M,https://www.binance.com/en/trade/BIFI_BUSD?_from=markets
289,GAS,NeoGas,$3.50,+0.78%,17.89M,$35.44M,https://www.binance.com/en/trade/GAS_BUSD?_from=markets
290,CLV,Clover Finance,$0.07998000,-0.45%,2.75M,$35.41M,https://www.binance.com/en/trade/CLV_BUSD?_from=markets
291,ALPINE,Alpine F1 Team Fan Token,$3.11,-0.95%,6.11M,$35.32M,https://www.binance.com/en/trade/ALPINE_BUSD?_from=markets
292,BTS,BitShares,$0.01166000,-0.09%,1.33M,$34.91M,https://www.binance.com/en/trade/BTS_USDT?_from=markets
293,DEGO,Dego Finance,$2.44,+3.17%,5.09M,$34.56M,https://www.binance.com/en/trade/DEGO_BUSD?_from=markets
294,ERN,Ethernity Chain,$2.19,-0.45%,3.31M,$33.88M,https://www.binance.com/en/trade/ERN_BUSD?_from=markets
295,VIDT,VIDT DAO,$0.04300000,+0.47%,3.52M,$33.11M,https://www.binance.com/en/trade/VIDT_BUSD?_from=markets
296,REI,REI Network,$0.03480000,+0.29%,1.76M,$33.05M,https://www.binance.com/en/trade/REI_BUSD?_from=markets
297,AMB,AirDAO,$0.02611000,+13.42%,10.20M,$31.83M,https://www.binance.com/en/trade/AMB_BUSD?_from=markets
298,DATA,Streamr,$0.04135000,-1.24%,2.65M,$31.72M,https://www.binance.com/en/trade/DATA_BUSD?_from=markets
299,FIO,FIO Protocol,$0.04240000,+1.68%,2.54M,$31.48M,https://www.binance.com/en/trade/FIO_BUSD?_from=markets
300,TRB,Tellor Tributes,$18.36,+1.44%,8.89M,$31.27M,https://www.binance.com/en/trade/TRB_BUSD?_from=markets
301,FIRO,Firo,$2.56,+0.23%,2.46M,$30.97M,https://www.binance.com/en/trade/FIRO_BUSD?_from=markets
302,UNFI,Unifi Protocol DAO,$6.12,-0.47%,7.49M,$30.26M,https://www.binance.com/en/trade/UNFI_BUSD?_from=markets
303,COS,Contentos,$0.00725000,+0.00%,3.95M,$30.16M,https://www.binance.com/en/trade/COS_BUSD?_from=markets
304,PSG,Paris Saint-Germain Fan Token,$6.21,+0.00%,2.29M,$30.06M,https://www.binance.com/en/trade/PSG_BUSD?_from=markets
305,TROY,Troy,$0.00347400,-0.29%,"569,256.03",$29.96M,https://www.binance.com/en/trade/TROY_BUSD?_from=markets
306,ADX,Ambire AdEx,$0.20880000,+8.24%,8.36M,$29.76M,https://www.binance.com/en/trade/ADX_BUSD?_from=markets
307,NEBL,Neblio,$1.50,-1.77%,1.80M,$29.74M,https://www.binance.com/en/trade/NEBL_BUSD?_from=markets
308,VOXEL,Voxies,$0.28620000,+2.29%,4.99M,$29.73M,https://www.binance.com/en/trade/VOXEL_BUSD?_from=markets
309,PIVX,PIVX,$0.40476538,-3.61%,2.90M,$29.07M,https://www.binance.com/en/trade/PIVX_BTC?_from=markets
310,HARD,Kava Lend,$0.20670000,-1.57%,3.09M,$27.86M,https://www.binance.com/en/trade/HARD_BUSD?_from=markets
311,CITY,Manchester City Fan Token,$4.77,+0.00%,2.96M,$27.61M,https://www.binance.com/en/trade/CITY_BUSD?_from=markets
312,NULS,Nuls,$0.27070000,-1.85%,2.00M,$27.47M,https://www.binance.com/en/trade/NULS_BUSD?_from=markets
313,LAZIO,Lazio Fan Token,$3.19,-1.20%,5.26M,$27.43M,https://www.binance.com/en/trade/LAZIO_BUSD?_from=markets
314,VITE,VITE,$0.02866000,+0.63%,2.45M,$27.39M,https://www.binance.com/en/trade/VITE_BUSD?_from=markets
315,FARM,Harvest Finance,$40.10,-0.50%,1.29M,$27.31M,https://www.binance.com/en/trade/FARM_BUSD?_from=markets
316,BURGER,BurgerCities,$0.75230000,-1.72%,7.80M,$26.97M,https://www.binance.com/en/trade/BURGER_BUSD?_from=markets
317,OM,MANTRA,$0.04390000,-2.44%,3.36M,$26.19M,https://www.binance.com/en/trade/OM_BUSD?_from=markets
318,DREP,DREP,$0.53080000,-1.92%,5.81M,$25.86M,https://www.binance.com/en/trade/DREP_BUSD?_from=markets
319,WING,Wing Token,$7.68,+0.79%,2.42M,$24.31M,https://www.binance.com/en/trade/WING_BUSD?_from=markets
320,DF,dForce,$0.05460000,+0.00%,2.62M,$23.58M,https://www.binance.com/en/trade/DF_BUSD?_from=markets
321,EPX,Ellipsis,$0.00035500,-0.56%,1.44M,$22.95M,https://www.binance.com/en/trade/EPX_BUSD?_from=markets
322,CREAM,Cream Finance,$12.31,-1.28%,1.06M,$22.84M,https://www.binance.com/en/trade/CREAM_BUSD?_from=markets
323,SANTOS,Santos FC Fan Token,$5.02,-2.22%,14.90M,$22.84M,https://www.binance.com/en/trade/SANTOS_BUSD?_from=markets
324,FRONT,Frontier,$0.25200000,+0.88%,2.74M,$22.68M,https://www.binance.com/en/trade/FRONT_BUSD?_from=markets
325,AUTO,Auto,$296.90,-0.74%,5.32M,$22.55M,https://www.binance.com/en/trade/AUTO_BUSD?_from=markets
326,FIDA,Bonfida,$0.50070000,-2.51%,8.25M,$22.39M,https://www.binance.com/en/trade/FIDA_BUSD?_from=markets
327,OOKI,OokiDAO,$0.00504000,+0.00%,2.48M,$22.38M,https://www.binance.com/en/trade/OOKI_BUSD?_from=markets
328,DOCK,DOCK,$0.02521000,-4.18%,3.20M,$21.71M,https://www.binance.com/en/trade/DOCK_BUSD?_from=markets
329,PORTO,FC Porto Fan Token,$2.78,-0.18%,6.31M,$21.68M,https://www.binance.com/en/trade/PORTO_BUSD?_from=markets
330,AKRO,Akropolis,$0.00502000,-2.33%,6.62M,$21.04M,https://www.binance.com/en/trade/AKRO_BUSD?_from=markets
331,VIB,Viberate,$0.10484000,-0.42%,4.94M,$20.92M,https://www.binance.com/en/trade/VIB_BUSD?_from=markets
332,WTC,Walton,$0.24900000,+2.85%,1.33M,$20.40M,https://www.binance.com/en/trade/WTC_USDT?_from=markets
333,AST,AirSwap,$0.11429227,-2.03%,"355,922.16",$19.94M,https://www.binance.com/en/trade/AST_BTC?_from=markets
334,FOR,ForTube,$0.02430000,+0.12%,3.23M,$19.31M,https://www.binance.com/en/trade/FOR_BUSD?_from=markets
335,OAX,openANX,$0.24518301,-0.48%,1.02M,$18.89M,https://www.binance.com/en/trade/OAX_BTC?_from=markets
336,PROS,Prosper,$0.63330000,+0.11%,2.24M,$18.35M,https://www.binance.com/en/trade/PROS_BUSD?_from=markets
337,PNT,pNetwork,$0.23930000,+4.91%,7.37M,$16.37M,https://www.binance.com/en/trade/PNT_USDT?_from=markets
338,CVP,PowerPool,$0.53950000,-0.17%,4.59M,$15.41M,https://www.binance.com/en/trade/CVP_BUSD?_from=markets
339,BIDR,BIDR,$0.00006553,+0.03%,15.44M,$14.79M,https://www.binance.com/en/trade/BIDR_BUSD?_from=markets
340,ACM,AC Milan Fan Token,$2.80,+0.07%,1.32M,$14.61M,https://www.binance.com/en/trade/ACM_BUSD?_from=markets
341,WABI,TAEL,$0.13563315,-1.89%,"608,265.00",$13.56M,https://www.binance.com/en/trade/WABI_BTC?_from=markets
342,PERL,Perlin,$0.02755000,+16.05%,10.48M,$13.52M,https://www.binance.com/en/trade/PERL_USDT?_from=markets
343,UFT,UniLend,$0.41660000,-0.17%,3.18M,$12.93M,https://www.binance.com/en/trade/UFT_BUSD?_from=markets
344,JUV,Juventus Fan Token,$2.82,+0.36%,"884,958.50",$12.43M,https://www.binance.com/en/trade/JUV_BUSD?_from=markets
345,OG,OG Fan Token,$2.86,+1.56%,3.22M,$10.74M,https://www.binance.com/en/trade/OG_BUSD?_from=markets
346,ATM,Atlético de Madrid Fan Token,$3.22,+0.63%,1.79M,$10.73M,https://www.binance.com/en/trade/ATM_BUSD?_from=markets
347,TORN,Tornado Cash,$8.21,+2.11%,3.46M,$9.02M,https://www.binance.com/en/trade/TORN_BUSD?_from=markets
348,IDRT,Rupiah Token,$0.00006553,+0.12%,"114,279.47",$7.93M,https://www.binance.com/en/trade/IDRT_USDT?_from=markets
349,ASR,AS Roma Fan Token,$2.82,-1.36%,1.07M,$6.41M,https://www.binance.com/en/trade/ASR_BUSD?_from=markets
350,ADADOWN,ADADOWN,$0.00271700,+1.15%,1.87M,–,https://www.binance.com/en/trade/ADADOWN_USDT?_from=markets
351,ADAUP,ADAUP,$0.40800000,-0.97%,"605,497.04",–,https://www.binance.com/en/trade/ADAUP_USDT?_from=markets
352,AUD,Australian Dollar,$0.67680000,+0.15%,–,–,https://www.binance.com/en/trade/AUD_BUSD?_from=markets
353,BETH,BETH,"$1,634.03",+0.85%,15.66M,–,https://www.binance.com/en/trade/BETH_BUSD?_from=markets
354,BNBDOWN,BNBDOWN,$0.01419000,+1.36%,"356,549.22",–,https://www.binance.com/en/trade/BNBDOWN_USDT?_from=markets
355,BNBUP,BNBUP,$44.43,-0.38%,"82,955.24",–,https://www.binance.com/en/trade/BNBUP_USDT?_from=markets
356,BTCDOWN,BTCDOWN,$0.01535400,-1.56%,1.22M,–,https://www.binance.com/en/trade/BTCDOWN_USDT?_from=markets
357,BTCUP,BTCUP,$4.57,+1.40%,"460,267.94",–,https://www.binance.com/en/trade/BTCUP_USDT?_from=markets
358,ETHDOWN,ETHDOWN,$0.38400000,-2.34%,7.38M,–,https://www.binance.com/en/trade/ETHDOWN_USDT?_from=markets
359,ETHUP,ETHUP,$4.60,+1.88%,"788,475.06",–,https://www.binance.com/en/trade/ETHUP_USDT?_from=markets
360,EUR,Euro,$1.06,+0.35%,–,–,https://www.binance.com/en/trade/EUR_BUSD?_from=markets
361,GBP,Pound Sterling,$1.20,-0.50%,–,–,https://www.binance.com/en/trade/GBP_BUSD?_from=markets
362,GNS,Gains Network,$7.98,-2.66%,20.81M,–,https://www.binance.com/en/trade/GNS_USDT?_from=markets
363,LINKDOWN,LINKDOWN,$0.00139100,+4.27%,"684,312.35",–,https://www.binance.com/en/trade/LINKDOWN_USDT?_from=markets
364,LINKUP,LINKUP,$0.00783000,+3.03%,"779,901.31",–,https://www.binance.com/en/trade/LINKUP_USDT?_from=markets
365,XRPDOWN,XRPDOWN,$0.00019650,-1.36%,"652,342.53",–,https://www.binance.com/en/trade/XRPDOWN_USDT?_from=markets
366,XRPUP,XRPUP,$0.10160000,+0.89%,"225,542.47",–,https://www.binance.com/en/trade/XRPUP_USDT?_from=markets
